,coda,set_mean,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,AoA_mean,onset,word_length,aoa_impact,set_size
224,#sp,11.299999999999999,hasp,0.0,1,h#sp,N,1,18.0,10.0,0.06,13.2,3.39,0.56,13.2,h,4,1.9000000000000004,3
225,#sp,11.299999999999999,rasp,0.0,1,r#sp,N,1,19.0,17.0,0.1,12.65,4.95,0.89,12.65,r,4,1.3500000000000014,3
226,#st,7.055000000000001,cast,1.36,1,k#st,N,1,21.0,21.0,23.14,7.24,3.16,1.0,7.24,k,4,0.1849999999999996,6
227,#st,7.055000000000001,fast,0.3,1,f#st,N,1,22.0,21.0,137.45,3.74,1.33,0.95,3.74,f,4,-3.3150000000000004,6
228,#st,7.055000000000001,last,0.0,1,l#st,N,1,21.0,21.0,723.1,4.35,1.83,1.0,4.35,l,4,-2.705000000000001,6
229,#st,7.055000000000001,mast,0.48,1,m#st,N,1,20.0,17.0,1.63,10.59,3.92,0.85,10.59,m,4,3.5349999999999993,6
230,#st,7.055000000000001,past,2.02,1,p#st,N,1,18.0,18.0,123.76,6.78,1.52,1.0,6.78,p,4,-0.27500000000000036,6
231,#st,7.055000000000001,vast,1.83,1,v#st,A,1,20.0,19.0,6.1,9.63,2.63,0.95,9.63,v,4,2.575,6
232,#st@R,6.645,master,1.75,0,m#st@R,N,2,18.0,18.0,87.25,6.5,2.38,1.0,6.5,m,6,-0.14499999999999957,2
233,#st@R,6.645,pastor,0.6,1,p#st@R,N,2,19.0,19.0,4.29,6.79,3.38,1.0,6.79,p,6,0.14500000000000046,2
242,#t,8.322222222222223,cart,1.04,1,k#t,N,1,19.0,19.0,9.04,6.16,2.32,1.0,6.16,k,3,-2.1622222222222227,9
243,#t,8.322222222222223,chart,1.26,1,J#t,N,1,22.0,22.0,9.47,7.59,2.92,1.0,7.59,J,3,-0.732222222222223,9
244,#t,8.322222222222223,dart,0.48,1,d#t,N,1,21.0,21.0,1.92,7.38,2.97,1.0,7.38,d,3,-0.942222222222223,9
245,#t,8.322222222222223,fart,0.0,1,f#t,N,1,18.0,18.0,6.43,5.78,2.34,1.0,5.78,f,3,-2.5422222222222226,9
246,#t,8.322222222222223,ghat,0.0,1,g#t,N,1,21.0,4.0,0.06,15.0,3.46,0.19,15.0,g,3,6.677777777777777,9
247,#t,8.322222222222223,hart,0.6,1,h#t,N,1,21.0,15.0,11.76,9.62,4.04,0.71,9.62,h,3,1.2977777777777764,9
248,#t,8.322222222222223,mart,0.0,1,m#t,N,1,19.0,19.0,1.9,10.0,4.33,1.0,10.0,m,3,1.6777777777777771,9
249,#t,8.322222222222223,part,2.76,1,p#t,N,1,19.0,19.0,261.51,5.11,1.15,1.0,5.11,p,3,-3.2122222222222225,9
250,#t,8.322222222222223,tart,0.6,1,t#t,N,1,19.0,19.0,2.39,8.26,2.96,1.0,8.26,t,3,-0.06222222222222307,9
252,#t@R,11.142,barter,0.0,1,b#t@R,N,2,20.0,18.0,0.9,10.72,4.11,0.9,10.72,b,5,-0.4219999999999988,5
253,#t@R,11.142,charter,0.9,0,J#t@R,N,2,18.0,18.0,2.96,10.33,3.29,1.0,10.33,J,5,-0.8119999999999994,5
254,#t@R,11.142,garter,0.3,0,g#t@R,N,2,19.0,18.0,1.31,11.72,3.32,0.95,11.72,g,5,0.5780000000000012,5
255,#t@R,11.142,martyr,0.78,1,m#t@R,N,2,19.0,18.0,2.59,13.0,3.41,0.95,13.0,m,5,1.8580000000000005,5
256,#t@R,11.142,tartar,0.0,1,t#t@R,N,2,18.0,18.0,1.49,9.94,5.21,1.0,9.94,t,5,-1.202,5
257,#t@n,9.655000000000001,carton,0.7,1,k#t@n,N,2,18.0,18.0,1.88,7.0,3.22,1.0,7.0,k,5,-2.655000000000001,2
258,#t@n,9.655000000000001,tartan,0.3,0,t#t@n,N,2,19.0,13.0,0.31,12.31,1.89,0.68,12.31,t,5,2.6549999999999994,2
275,#trI_,9.5,cartridge,0.6,1,k#trI_,N,2,19.0,19.0,0.96,10.95,4.86,1.0,10.95,k,6,1.4499999999999993,2
276,#trI_,9.5,partridge,1.0,1,p#trI_,N,2,19.0,19.0,3.39,8.05,3.26,1.0,8.05,p,6,-1.4499999999999993,2
280,#v,6.9399999999999995,carve,1.3,1,k#v,V,1,18.0,17.0,3.1,6.35,1.77,0.94,6.35,k,3,-0.5899999999999999,2
281,#v,6.9399999999999995,halve,0.7,1,h#v,V,1,19.0,19.0,0.14,7.53,2.7,1.0,7.53,h,3,0.5900000000000007,2
282,#v@,12.305,kava,0.0,1,k#v@,N,2,19.0,9.0,0.08,15.78,4.97,0.47,15.78,k,4,3.4749999999999996,2
283,#v@,12.305,larva,0.7,1,l#v@,N,2,19.0,18.0,0.25,8.83,2.53,0.95,8.83,l,4,-3.4749999999999996,2
287,#z,10.37,parse,0.0,1,p#z,V,1,19.0,13.0,0.12,12.85,4.2,0.68,12.85,p,3,2.4800000000000004,2
288,#z,10.37,vase,0.85,1,v#z,N,1,18.0,18.0,3.84,7.89,2.59,1.0,7.89,v,3,-2.4799999999999995,2
