,coda,set_mean,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,Concreteness,onset,word_length,concreteness_impact,set_size
282,$_,4.095000000000001,forge,0.3,1,f$_,N,1,0,4.04,1.23,0,28,1.0,166,Verb,4.04,f,3,-0.055000000000000604,2
283,$_,4.095000000000001,gorge,0.9,1,g$_,N,1,0,4.15,1.29,2,29,0.93,67,Noun,4.15,g,3,0.054999999999999716,2
291,$d,3.825714285714286,board,2.01,1,b$d,N,1,0,4.57,1.0,1,29,0.97,3272,Noun,4.57,b,3,0.7442857142857142,7
292,$d,3.825714285714286,chord,0.7,1,k$d,N,1,0,4.29,0.9,0,28,1.0,93,Noun,4.29,k,3,0.46428571428571397,7
293,$d,3.825714285714286,ford,0.0,1,f$d,N,1,0,4.19,0.96,2,29,0.93,587,Name,4.19,f,3,0.3642857142857143,7
294,$d,3.825714285714286,hoard,0.0,1,h$d,N,1,0,3.33,1.39,1,28,0.96,23,Noun,3.33,h,3,-0.495714285714286,7
295,$d,3.825714285714286,laud,0.0,1,l$d,V,1,0,1.88,1.33,4,28,0.86,6,Verb,1.88,l,3,-1.9457142857142862,7
296,$d,3.825714285714286,sword,1.23,1,s$d,N,1,0,4.93,0.37,0,29,1.0,1335,Noun,4.93,s,3,1.1042857142857136,7
297,$d,3.825714285714286,ward,1.49,1,w$d,N,1,0,3.59,1.37,0,27,1.0,727,Noun,3.59,w,3,-0.2357142857142862,7
302,$dIN,3.255,boarding,0.9,1,b$dIN,N,2,0,3.44,1.34,0,27,1.0,564,Noun,3.44,b,5,0.18500000000000005,2
303,$dIN,3.255,hoarding,0.0,1,h$dIN,N,2,0,3.07,1.31,0,29,1.0,33,Verb,3.07,h,5,-0.18500000000000005,2
313,$k,4.285555555555556,balk,0.0,1,b$k,N,1,0,2.76,1.23,3,28,0.89,3,Verb,2.76,b,3,-1.525555555555556,9
314,$k,4.285555555555556,chalk,0.95,1,J$k,N,1,0,4.9,0.41,0,29,1.0,183,Noun,4.9,J,3,0.6144444444444446,9
315,$k,4.285555555555556,cork,0.7,1,k$k,N,1,0,4.86,0.45,0,28,1.0,146,Noun,4.86,k,3,0.5744444444444445,9
316,$k,4.285555555555556,fork,1.18,1,f$k,N,1,0,4.9,0.55,0,30,1.0,450,Noun,4.9,f,3,0.6144444444444446,9
317,$k,4.285555555555556,gawk,0.0,1,g$k,N,1,0,3.29,1.3,1,25,0.96,16,Verb,3.29,g,3,-0.9955555555555557,9
318,$k,4.285555555555556,hawk,0.78,1,h$k,N,1,0,4.93,0.27,0,27,1.0,650,Name,4.93,h,3,0.6444444444444439,9
319,$k,4.285555555555556,pork,0.9,1,p$k,N,1,0,4.79,0.82,0,29,1.0,537,Noun,4.79,p,3,0.5044444444444443,9
320,$k,4.285555555555556,talk,1.66,1,t$k,N,1,0,4.07,1.25,0,28,1.0,43605,Verb,4.07,t,3,-0.2155555555555555,9
321,$k,4.285555555555556,walk,1.73,1,w$k,N,1,0,4.07,1.44,0,29,1.0,11009,Verb,4.07,w,3,-0.2155555555555555,9
324,$k@s,2.75,caucus,0.3,1,k$k@s,N,2,0,3.11,1.47,2,30,0.93,15,Noun,3.11,k,5,0.3599999999999999,2
325,$k@s,2.75,raucous,0.3,0,r$k@s,A,2,0,2.39,1.47,4,27,0.85,16,Adjective,2.39,r,5,-0.3599999999999999,2
329,$kt,3.5,corked,0.0,1,k$kt,A,1,0,3.59,1.25,1,28,0.96,13,Verb,3.59,k,4,0.08999999999999986,2
330,$kt,3.5,forked,0.3,1,f$kt,A,1,0,3.41,1.42,1,28,0.96,14,Adjective,3.41,f,4,-0.08999999999999986,2
331,$l,4.262222222222222,ball,2.05,1,b$l,N,1,0,5.0,0.0,0,28,1.0,5353,Noun,5.0,b,3,0.7377777777777776,9
332,$l,4.262222222222222,call,1.77,1,k$l,N,1,0,4.0,1.11,1,28,0.96,43931,Verb,4.0,k,3,-0.26222222222222236,9
333,$l,4.262222222222222,fall,1.68,1,f$l,N,1,0,4.04,1.08,0,26,1.0,6044,Verb,4.04,f,3,-0.22222222222222232,9
334,$l,4.262222222222222,gall,0.3,1,g$l,N,1,0,2.6,1.22,3,28,0.89,101,Noun,2.6,g,3,-1.6622222222222223,9
335,$l,4.262222222222222,hall,2.12,1,h$l,N,1,0,4.67,0.62,0,27,1.0,2649,Noun,4.67,h,3,0.4077777777777776,9
336,$l,4.262222222222222,mall,1.0,1,m$l,N,1,0,4.83,0.47,0,29,1.0,964,Noun,4.83,m,3,0.5677777777777777,9
337,$l,4.262222222222222,shawl,0.78,1,S$l,N,1,0,5.0,0.0,2,27,0.93,70,Noun,5.0,S,3,0.7377777777777776,9
338,$l,4.262222222222222,tall,1.87,1,t$l,A,1,0,3.36,1.39,0,28,1.0,1649,Adjective,3.36,t,3,-0.9022222222222225,9
339,$l,4.262222222222222,wall,2.32,1,w$l,N,1,0,4.86,0.45,0,28,1.0,3605,Noun,4.86,w,3,0.597777777777778,9
348,$ls,3.4399999999999995,false,1.64,1,f$ls,A,1,0,2.36,1.42,0,28,1.0,1078,Adjective,2.36,f,4,-1.0799999999999996,2
